vin,car_model,car_mk,car_model_yyyy,color,created_at,num
WBADT53432C502374,Vandura 3500,GMC,1993,Green,2021-07-16 22:38:27,14.507
WP0CA2A83FK750287,Integra,Acura,1998,Turquoise,2021-07-14 15:03:17,14.078
WBAYA8C54ED844867,57,Maybach,2008,Turquoise,2021-02-26 09:10:27,46.597
1N6BF0KX0FN917563,Impala,Chevrolet,2006,Violet,2021-10-16 11:37:06,
1G4HP572X8U203304,Avenger,Dodge,1996,Teal,2021-07-28 09:58:46,36.93
5J8TB18248A641419,Bonneville,Pontiac,1998,Yellow,2021-05-26 12:00:35,79.033
3GYFNDEYXBS557344,Explorer,Ford,1997,Violet,2021-11-15 05:20:25,
WVWAA7AJ4CW335846,D150,Dodge,1993,Violet,2021-06-05 04:49:43,70.244
SCBFU7ZA3EC703653,Town Car,Lincoln,1992,Yellow,2021-02-06 15:28:42,74.68
WAUPL58E45A605074,Esperante,Panoz,2007,Puce,2021-08-22 00:57:19,65.49
WAULC58E52A366967,Yukon XL 1500,GMC,2006,Pink,2021-01-24 15:32:54,
2C3CCAHG1CH974036,Club Wagon,Ford,1992,Blue,2021-10-16 18:18:42,40.449
JN1CV6APXBM402460,Venza,Toyota,2011,Indigo,2021-12-16 10:10:03,89.967
19VDE1F35FE734698,Savana 1500,GMC,2005,Orange,2021-05-18 10:37:42,17.8
WBAET37404N295159,Outback,Subaru,2004,Crimson,2021-03-24 20:49:14,
WAUMGAFL5EA708831,Kizashi,Suzuki,2010,Aquamarine,2021-06-25 07:57:31,90.486
KMHGH4JH0EU947876,QX,Infiniti,1998,Mauv,2021-05-14 23:46:33,82.934
1G6D05EG3A0171348,Frontier,Nissan,2000,Blue,2021-04-24 18:15:05,
WAUPL58E65A153886,Jetta III,Volkswagen,1993,Fuscia,2021-08-04 09:01:14,
WBSWD93599P881675,E250,Ford,2009,Yellow,2021-04-19 19:38:05,98.73
1GYS4BEF2CR236147,LaCrosse,Buick,2005,Aquamarine,2021-12-18 16:18:20,73.474
5UXWX9C5XDL275735,XC70,Volvo,2004,Maroon,2021-04-12 11:13:01,
WBANW13548C294611,Cayenne,Porsche,2008,Khaki,2021-10-26 03:42:04,
2T1BPRHEXFC015242,Explorer,Ford,2000,Blue,2021-08-24 03:11:36,
WA1UFAFL3DA114396,Fusion,Ford,2010,Khaki,2021-12-31 01:40:03,
WA1YD64B33N004809,Cayenne,Porsche,2013,Teal,2021-12-31 12:02:28,
1GD22ZCG9DZ005663,Elise,Lotus,2004,Mauv,2021-09-17 15:00:29,27.094
WDDGF5EB4AA962078,MX-5,Mazda,2006,Aquamarine,2021-09-28 07:57:14,21.6
JM1NC2LF1D0063350,Murano,Nissan,2010,Maroon,2021-01-28 11:13:02,51.13
WA1LGAFE4ED183723,IS-F,Lexus,2011,Puce,2021-12-06 19:19:29,88.685
KMHHT6KDXBU212165,Vandura G1500,GMC,1995,Green,2021-03-06 22:17:45,
5GADV23137D573286,Forester,Subaru,2006,Crimson,2021-12-15 19:00:26,90.767
2T1BU4EE9DC078149,rio,Volkswagen,1996,Fuscia,2021-01-19 01:54:48,9.585
3FADP4AJ3EM301464,Corvette,Chevrolet,1975,Yellow,2021-10-03 11:20:12,27.179
SCBBP9ZA3BC379004,C-Class,Mercedes-Benz,,,2021-02-08 19:57:39,
WA1CGBFE4CD692696,Dakota Club,Dodge,1992,Teal,2021-05-17 03:43:53,86.279
1FTEX1CW4AF924508,F450,Ford,2012,Puce,2021-07-17 16:33:05,50.835
KMHEC4A47DA452741,Savana 2500,GMC,2004,Fuscia,2021-04-11 17:46:22,72.961
5UXWX5C57CL870940,Ram Van 2500,Dodge,2002,Blue,2021-06-08 08:15:42,97.048
1FTSW2B53AE790505,NSX,Acura,1994,Indigo,2021-01-13 05:02:44,50.01
JTHDL5EF1F5714040,Grand Voyager,Plymouth,1998,Indigo,2021-07-24 07:54:43,
1G6ET12922B900455,IS,Lexus,2011,Aquamarine,2021-08-19 11:45:27,54.819
KMHHU6KJ3FU999291,Camaro,Chevrolet,1996,Crimson,2021-09-06 10:25:32,94.134
19UYA42562A604764,Express 1500,Chevrolet,2002,Goldenrod,2021-02-23 06:06:33,20.351
JTDJTUD39DD600666,H1,Hummer,1994,Turquoise,2021-06-14 21:01:27,4.572
5GAKVCKD0DJ786685,California,Ferrari,2009,Indigo,2021-01-29 01:40:07,66.712
1GYEE637970442301,Mighty Max,Mitsubishi,1993,Puce,2021-01-07 22:17:58,
WBA4A9C54FG075842,LSS,Oldsmobile,1997,Fuscia,2021-05-04 04:33:12,91.551
WBAEN33484P051408,4Runner,Toyota,2004,Green,2021-10-12 04:16:10,
WVGEF9BP1DD102713,Astro,Chevrolet,2004,Fuscia,2021-12-27 22:30:39,
3N1AB7AP0FY464717,XK,Jaguar,2007,Yellow,2021-08-19 04:21:29,
1FTEX1CM3DF070713,E-Class,Mercedes-Benz,1996,Maroon,2021-05-11 19:21:02,81.501
JH4KB16387C841436,G35,Infiniti,2003,Puce,2022-01-01 07:54:33,91.012
WA1VMAFE0BD467895,Econoline E350,Ford,1992,Khaki,2021-11-10 09:54:42,44.745
4T1BD1FK3FU654581,Quest,Nissan,2002,Crimson,2021-05-14 23:14:09,
3D73Y4EL1BG831883,Skylark,Buick,1989,Mauv,2021-11-09 10:02:49,11.244
WA1LFAFP5BA396181,Sunfire,Pontiac,1996,Khaki,2021-03-25 18:15:06,26.8
1C3CDZCB3DN156422,RS 6,Audi,2003,Turquoise,2021-05-06 11:29:39,51.885
JA4AP3AU5BZ260101,Highlander,Toyota,2010,Puce,2021-09-16 05:40:50,32.939
3GYFNEEY7AS558620,Dakota Club,Dodge,2004,Yellow,2021-08-06 11:53:49,52.281
SCFAD01A85G108138,ES,Lexus,2007,Yellow,2021-09-03 06:13:39,9.498
WBAPH7C52BA859947,6 Series,BMW,1989,Violet,2021-10-20 03:44:45,90.541
WAUAFAFH9BN663107,Probe,Ford,1994,Pink,2021-12-09 16:10:07,
5FRYD4H46FB935585,911,Porsche,1992,Crimson,2021-11-03 15:44:46,36.804
1FTWX3D53AE338975,Prelude,Honda,1995,Crimson,2021-02-03 17:39:15,48.468
WAUHE78P39A183073,Cayenne,Porsche,2008,Red,2021-12-06 08:57:45,23.58
JN1AZ4EHXEM212598,Intrepid,Dodge,1995,Red,2021-03-04 02:19:12,69.909
1N6AA0EC2DN168636,Fleetwood,Cadillac,1954,Green,2021-09-16 06:58:56,
2HNYD28808H429671,Accent,Hyundai,2005,Violet,2021-06-09 05:49:43,72.544
WBALW3C50CC074927,DB9 Volante,Aston Martin,2006,Violet,2021-07-25 21:53:05,88.185
1FTFW1E8XAK221167,Mountaineer,Mercury,2009,Goldenrod,2021-06-21 02:29:59,40.589
1FTEX1CW6AK792746,Metro,Chevrolet,1998,Purple,2021-11-07 02:48:43,
1N6AF0KY0FN661235,Accord,Honda,,,2021-12-07 03:13:38,1.165
JM1NC2PFXE0528588,SC,Lexus,1992,Aquamarine,2021-06-04 06:26:47,39.119
JN8AF5MR1CT371670,Boxster,Porsche,2006,Red,2021-07-18 15:19:05,54.017
WDDHF5GB6AA495716,E-Series,Ford,2008,Green,2021-08-02 16:20:13,
YV140MAK8F1495652,TSX,Acura,2012,Aquamarine,2021-10-21 03:52:24,61.609
2C3CDXHG9FH456440,G-Class,Mercedes-Benz,2010,Aquamarine,2021-04-14 12:15:41,61.619
1G4HD57218U259303,Z8,BMW,,,2021-06-28 12:43:20,
WBAPN73599A856854,S40,Volvo,2000,Aquamarine,2021-05-20 16:39:41,8.137
WAUVC68E45A928876,Type-1h,Aptera,2010,Yellow,2021-05-23 05:58:49,51.362
WAUDFAFC1CN706809,Esprit,Lotus,2003,Puce,2021-07-31 10:42:36,84.233
5FRYD3H40GB535355,TSX,Acura,2012,Blue,2021-10-08 20:53:06,21.965
JN8AZ2KR4CT967672,Neon,Dodge,1996,Maroon,2021-10-10 19:07:08,98.763
1G6DK5ED5B0721280,Corvette,Chevrolet,1998,Purple,2021-05-15 22:26:51,76.112
JTDJTUD37DD071962,GTO,Pontiac,1968,Indigo,2021-04-21 08:51:21,
JM1NC2LF1D0381517,Park Avenue,Buick,1992,Green,2021-12-12 16:17:39,21.523
WAUHGAFC7EN071211,Expedition EL,Ford,2009,Goldenrod,2021-04-11 21:54:08,87.131
WAUDH74F37N189206,Crown Victoria,Ford,2000,Yellow,2021-05-22 06:29:17,
2B3CK2CV1AH344302,CX-7,Mazda,2010,Mauv,2021-01-29 12:14:12,47.926
2T1BURHE9EC508871,S-Class,Mercedes-Benz,,,2021-01-30 15:39:11,33.773
KNAGM4AD3D5367685,9-5,Saab,2011,Aquamarine,2021-12-19 15:56:58,
JHMFA3F27AS925624,A6,Audi,2010,Yellow,2021-10-07 05:13:27,75.898
WBAKE5C56BE570621,300SE,Mercedes-Benz,1992,Indigo,2021-04-09 05:20:04,
JH4DC54893S562492,SLX,Acura,,,2021-09-18 23:35:33,
1N4AL2AP6AC554393,Forester,Subaru,1998,Violet,2021-11-22 06:07:01,63.062
1N6AD0CW0EN931310,TundraMax,Toyota,2009,Mauv,2021-04-08 02:22:49,
2C3CCAGG8FH973276,Caprice,Chevrolet,1996,Yellow,2021-03-29 18:48:31,55.036
1GD020CG3BF684220,Lancer,Mitsubishi,2001,Mauv,2021-11-27 22:36:15,83.149
WAUSH78E37A446462,Sierra Hybrid,GMC,2006,Green,2021-10-18 18:33:10,9.267
YV1672MK9B2790719,SL-Class,Mercedes-Benz,2002,Turquoise,2021-02-07 13:48:32,
5GAKVCKDXEJ916036,Maxima,Nissan,2002,Mauv,2021-12-23 02:10:45,
5UXFB93523L456101,Suburban 1500,GMC,1992,Maroon,2021-08-01 03:20:33,45.196
SAJWA4EB0EL735979,G,Infiniti,1994,Red,2021-05-23 02:23:51,
JTDKN3DU0B0304120,Sorento,Kia,2013,Violet,2021-02-19 19:41:29,
2B3CA2CV4AH258338,Legacy,Subaru,2009,Teal,2021-04-20 05:56:54,8.653
JN8AF5MV0FT273876,Yukon,GMC,2008,Red,2021-03-14 08:14:58,87.778
WAUJT68EX4A571782,SL-Class,Mercedes-Benz,1994,Blue,2021-09-08 09:18:44,
2T1BU4EE4BC197532,Pathfinder Armada,Nissan,2004,Purple,2021-06-23 11:16:37,
1ZVBP8AN9A5430978,E-Class,Mercedes-Benz,1995,Orange,2021-09-24 20:49:27,7.492
1GYFC33289R576082,Space,Isuzu,1993,Crimson,2021-07-11 10:07:47,3.539
5J6TF3H57FL294009,Fox,Volkswagen,,,2021-12-28 09:28:39,52.598
3N1BC1CP6CK911030,E-Class,Mercedes-Benz,1989,Yellow,2021-10-24 08:27:46,2.171
JN1CV6EK1CM114309,Ram 2500,Dodge,2001,Teal,2021-01-14 06:51:36,89.851
5GADV23107D686466,Impreza,Subaru,,,2021-07-07 18:04:46,18.587
KMHTC6AD6FU268802,Corolla,Toyota,1992,Yellow,2021-02-01 02:51:01,4.817
2G61W5S88E9543325,CR-V,Honda,,,2021-10-30 20:31:14,38.869
WAUNF98P18A447871,Matrix,Toyota,2003,Mauv,2021-05-15 02:11:54,7.995
WBA3B3G57FN161951,RSX,Acura,2005,Maroon,2021-05-22 14:47:32,
YV1672MW2B2100764,Corvette,Chevrolet,1989,Aquamarine,2021-01-28 11:59:11,
JHMZE2H31CS162942,xD,Scion,2010,Yellow,2021-03-15 02:32:35,74.965
KL4CJESBXEB064879,Vibe,Pontiac,2007,Purple,2021-05-31 02:37:23,5.535
1G6DH5E51D0948265,RX-8,Mazda,2010,Blue,2021-11-10 10:23:04,
1G6YV36A585253015,Mazda5,Mazda,2010,Mauv,2021-03-13 05:19:37,35.567
SCFFDEDNXCG263188,Roadster,Tesla,2010,Green,2021-11-05 11:20:17,31.087
SCFEBBBC3AG716890,GS,Lexus,1997,Yellow,2021-02-08 06:18:23,87.385
