vin,car_model,car_mk,car_model_yyyy,color,created_at,num
WBAAZ33463K684388,Sierra,GMC,2012,Aquamarine,2021-08-23 06:21:00,49.653
WAUAGAFD6DN506809,GS,Lexus,1998,Indigo,2021-06-26 18:03:14,82.82
1GD312CGXDF896305,Grand Am,Pontiac,2001,Purple,2021-06-29 10:11:38,99.428
1G6YV36A685027436,Tundra,Mitsubishi,2009,Maroon,2021-09-15 05:11:05,87.146
WA1WGBFP9EA856639,Sportage,Kia,1995,Red,2021-10-25 04:56:10,54.044
5FNYF3H22EB637926,Neon,Dodge,2001,Teal,2021-12-14 12:53:28,88.253
KMHEC4A45DA499704,Mustang,Ford,2000,Pink,2021-02-21 09:06:48,
WAUNF98P07A600058,240SX,Nissan,1998,Fuscia,2021-02-23 21:57:27,14.965
WAUDGAFL9CA807438,Grand Cherokee,Jeep,2008,Green,2021-05-02 21:18:26,
KL4CJCSB3FB427741,3500 Club Coupe,GMC,1993,Pink,2021-06-13 13:14:12,79.137
4A4JM2ASXBE853315,Regal,Buick,1997,Orange,2021-03-30 20:42:20,86.207
1FTWW3B51AE272996,S-Class,Mercedes-Benz,2002,Pink,2021-02-27 17:50:21,
WAUDG58E45A555350,Express 3500,Chevrolet,2003,Puce,2021-08-11 05:45:13,47.771
WBAEP33473P965934,Blazer,Chevrolet,2000,Pink,2021-11-15 00:32:57,39.405
WAUMGAFL1CA612160,Coachbuilder,Buick,1995,Teal,2021-11-10 08:02:02,74.836
WBA3T3C52EP483449,911,Porsche,,,2021-04-16 14:00:44,65.226
5N1AN0NWXEN582665,A5,Audi,,,2021-02-26 21:19:39,
3GYT4LEF0BG404599,Maxima,Nissan,1990,Green,2021-03-02 08:47:31,
1GYFK43808R906552,Sportvan G20,Chevrolet,,,2021-09-13 08:28:00,
WBADX7C59DJ702327,Country,Ford,1967,Purple,2021-08-24 07:21:42,
5N1AL0MM9FC703382,Nubira,Daewoo,2000,Crimson,2021-11-09 19:37:34,97.539
WAUML44D62N180276,S60,Volvo,2012,Yellow,2021-01-12 08:55:57,
WAUDF48H39K588895,Aerio,Suzuki,2006,Blue,2021-11-02 14:08:12,18.479
2T1BU4EE4CC465609,MX-5,Mazda,2010,Purple,2021-01-04 01:09:33,
1FTEW1CM9CF689933,Villager,Mercury,2002,Puce,2021-05-11 16:41:38,
5J6TF2H5XEL708621,LX,Lexus,2007,Teal,2021-04-06 18:38:52,98.553
19UUA66228A764918,GTO,Mitsubishi,1994,Yellow,2021-10-25 23:41:01,10.004
WBAWC3C56AP790632,626,Mazda,1985,Fuscia,2021-09-08 07:30:37,
1GYS4UKJXFR284133,Altima,Nissan,1999,Aquamarine,2021-12-17 08:48:15,82.424
WBAGN83403D646629,Type 2,Volkswagen,1986,Khaki,2021-11-16 21:24:45,
WAUBH74F68N486995,Exige,Lotus,2004,Teal,2021-04-14 07:32:20,
5N1AN0NU3EN944558,Optima,Kia,2009,Khaki,2021-09-25 03:55:31,
JH4CU4F66CC465176,Prelude,Honda,2000,Puce,2021-10-23 07:37:59,78.619
3D7TT2HT9AG631380,Vega,Chevrolet,1971,Aquamarine,2021-04-15 10:30:23,81.548
JN1EY1AP7DM288021,Dakota Club,Dodge,2004,Turquoise,2021-11-13 18:36:57,
2T1KU4EE4DC507410,Patriot,Jeep,2012,Pink,2021-12-27 17:52:39,35.993
WBSBR93462P277367,Maxima,Nissan,1995,Violet,2021-03-24 11:38:10,11.239
3VW1K7AJ8FM807402,W201,Mercedes-Benz,1992,Khaki,2021-04-26 08:59:31,54.579
WAUNF98P78A482236,Integra,Acura,1997,Violet,2021-11-15 08:19:47,51.94
1G6YV36A385073886,ES,Lexus,2001,Red,2021-08-23 19:02:44,94.535
3FADP0L33CR904728,Rio,Kia,2012,Purple,2021-04-16 14:56:11,37.092
WVWGD7AJ4EW674451,Villager,Mercury,1995,Green,2021-05-21 10:38:03,
1FTMF1C88AK564599,C70,Volvo,2007,Maroon,2021-03-18 09:43:43,36.585
WBAWC33518P765521,Diamante,Mitsubishi,2002,Pink,2021-04-01 18:14:39,7.983
JTDKTUD39ED293568,Continental GTC,Bentley,2011,Puce,2021-08-18 06:19:35,65.024
SCBFT7ZA5DC151476,Grand Vitara,Suzuki,2006,Violet,2021-08-12 17:55:28,94.908
WAULT58E12A890620,Continental GT,Bentley,2009,Mauv,2021-11-12 22:09:07,21.879
WBANF735X7C693797,Viper,Dodge,2008,Pink,2021-11-14 23:56:52,75.154
WA1LFAFP4EA177748,Mariner,Mercury,2009,Red,2021-07-14 12:29:58,86.859
WBA4A7C55FG430165,LeSabre,Buick,1999,Indigo,2021-12-01 19:47:16,91.188
WA1VGBFP1EA198035,Ghost,Rolls-Royce,2010,Aquamarine,2021-03-04 22:22:49,
JM1NC2LF0C0740046,Express 1500,Chevrolet,1997,Green,2021-07-02 17:37:40,10.547
WAUAF78E77A278262,A8,Audi,2000,Mauv,2021-02-12 05:34:20,38.21
JTEBU5JR0D5340521,Savana 2500,GMC,2010,Turquoise,2021-09-02 07:42:34,3.145
WAULC68E25A026945,3 Series,BMW,1992,Aquamarine,2021-07-17 07:25:51,61.502
SCBBP93W89C751211,626,Mazda,,,2021-11-11 10:41:51,
WAUDH78EX6A471897,Rally Wagon 3500,GMC,1992,Yellow,2021-04-21 00:46:38,5.849
SCFHDDAJ3AA619095,Grand Prix,Pontiac,1992,Red,2021-10-13 01:42:48,94.027
SCBFT7ZA4DC564571,Festiva,Ford,1992,Pink,2021-10-07 16:28:44,
WBAVM1C56DV265115,300M,Chrysler,2000,Goldenrod,2021-11-01 11:31:22,94.657
2T1BURHE9EC050183,LS,Lexus,2010,Red,2021-09-27 09:39:03,39.943
1G6YX36DX95937032,Navigator,Lincoln,2006,Purple,2021-08-02 10:40:33,32.282
1GYS4HKJ4FR337528,Range Rover,Land Rover,2007,Orange,2021-10-11 06:56:26,
WAUJC58E82A426893,4Runner,Toyota,2000,Khaki,2021-10-22 03:41:45,
5FRYD4H9XGB276410,Karif,Maserati,1990,Khaki,2021-08-04 12:09:46,
WAUMGBFLXBA217849,Passat,Volkswagen,,,2021-06-28 15:51:12,57.136
1FTEX1CWXAF385036,Torrent,Pontiac,2006,Turquoise,2022-01-01 17:38:18,19.207
1G6DC8EY4B0262938,Range Rover Sport,Land Rover,2012,Khaki,2021-03-19 17:43:06,75.474
WAUKH98E47A568033,S60,Volvo,2007,Blue,2021-09-26 10:51:35,3.532
5NPE24AF7FH146188,TL,Acura,2006,Purple,2021-12-13 05:30:17,25.579
WAUEG98EX6A925925,Explorer,Ford,1991,Purple,2021-04-24 18:01:11,5.845
1G6DK5ED3B0920070,TL,Acura,2008,Yellow,2021-12-19 18:39:21,16.23
WAUML44DX2N352342,B-Series,Mazda,,,2021-03-07 10:16:17,
3VW4A7AT5CM877078,Mustang,Ford,1993,Turquoise,2021-11-04 18:27:57,
1N6AF0KX5EN989790,Sebring,Chrysler,2008,Teal,2021-03-25 14:59:51,90.661
5J6TF1H39CL124748,Eurovan,Volkswagen,,,2021-06-14 12:34:07,40.759
1C3BCBFG6CN882156,C30,Volvo,2010,Violet,2021-07-26 15:29:54,65.372
W06VR54R21R775495,Stratus,Dodge,2004,Purple,2021-10-23 06:34:35,6.73
WAUEH98E06A494587,Ram Van 1500,Dodge,2002,Teal,2021-02-07 13:50:01,43.846
KNDPB3A25B7537631,Insight,Honda,2006,Maroon,2021-07-06 00:31:10,
5TDBW5G16ES130260,Sunfire,Pontiac,1996,Puce,2021-04-20 22:52:09,
WAUDF68E75A164685,Express 2500,Chevrolet,2004,Khaki,2021-12-17 10:36:35,62.714
1D7RB1CT2BS779573,Neon,Dodge,2005,Mauv,2021-07-21 07:41:03,57.191
19UYA42421A012879,Prius Plug-in Hybrid,Toyota,2012,Mauv,2021-09-27 02:18:56,90.976
WAUCFAFR3EA289896,Defender,Land Rover,1993,Green,2021-06-13 03:20:48,55.551
5TDBK3EH6DS219194,Windstar,Ford,2003,Puce,2021-02-01 20:02:41,
1GYFC362X9R973109,Solstice,Pontiac,2009,Purple,2021-01-31 05:08:10,93.029
3D7TT2CT9BG740060,Raider,Mitsubishi,2006,Orange,2021-11-07 07:03:38,75.421
YV1622FS9C2886752,X-Type,Jaguar,2007,Fuscia,2021-08-19 13:44:06,83.147
KMHCT4AE6CU897260,Lancer Evolution,Mitsubishi,2005,Crimson,2021-01-25 04:29:09,33.264
1FTSW2A50AE076543,A5,Audi,2008,Red,2021-07-06 03:12:15,78.942
JH4KC1F58EC157871,928,Porsche,1993,Orange,2021-07-24 23:07:46,72.155
3C6TD4CT1CG432084,Freelander,Land Rover,2009,Maroon,2021-03-08 09:43:46,
1N6AA0CC2BN339658,Econoline E350,Ford,2000,Goldenrod,2021-09-10 00:19:25,
1G6DL5EGXA0687035,Hombre,Isuzu,2000,Pink,2021-08-03 13:30:33,78.656
5J8TB18299A460379,Navigator,Lincoln,2009,Crimson,2021-09-08 03:01:47,64.698
WBA3B9G51EN558671,Astro,Chevrolet,2000,Blue,2021-05-30 08:43:24,15.086
JTJBM7FXXF5082662,Integra,Acura,2001,Yellow,2021-01-04 02:37:47,
1N6AF0LY5FN732587,Fox,Volkswagen,1990,Indigo,2021-01-21 14:54:13,
WBAYE8C50FD094843,Corvette,Chevrolet,1984,Pink,2021-05-04 06:24:00,76.714
WA1YD64B12N694543,Grand Am,Pontiac,1987,Puce,2021-05-25 18:56:53,
JM1GJ1T61F1042133,Econoline E250,Ford,2001,Puce,2021-12-18 23:20:24,
3VWF17AT9FM587228,Land Cruiser,Toyota,1996,Indigo,2021-10-14 21:37:01,84.844
JH4CW2H61CC529975,RAV4,Toyota,,,2021-04-21 08:03:38,42.349
WA1CV94L57D293883,Avalon,Toyota,1996,Orange,2021-02-02 10:38:28,58.382
WAUFEAFM2CA715238,Optima,Kia,,,2021-08-13 12:20:30,
SCFFDCCD9BG274565,Xtra,Toyota,1993,Pink,2021-05-31 01:29:21,
1FBNE3BLXDD579546,GTI,Volkswagen,,,2021-03-01 04:29:13,
WBXPA734X4W332102,Tucson,Hyundai,2008,Violet,2021-11-21 06:30:59,16.276
2G4GT5GX2F9776002,IS,Lexus,2001,Fuscia,2021-12-23 20:36:22,7.277
1GT01ZCG9EF250397,Civic,Honda,1988,Crimson,2021-09-19 01:14:59,
YV440MBD5F1080534,900,Saab,1987,Purple,2021-01-09 08:42:31,
1B3CB7HB7AD509049,Camry,Toyota,2010,Maroon,2021-06-09 23:47:54,59.964
JN1BJ0HR7DM118699,Caprice,Chevrolet,1977,Orange,2021-11-08 13:55:24,31.317
1N4AL3AP5DC145442,CL-Class,Mercedes-Benz,2003,Red,2021-10-25 12:48:37,69.378
WAUSG78E26A915221,Corvette,Chevrolet,2006,Pink,2021-05-19 14:27:31,
WAUPL68E25A078853,Explorer Sport,Ford,2003,Aquamarine,2022-01-01 06:00:31,14.584
WVWAA7AJ7CW066838,Corvette,Chevrolet,1966,Khaki,2021-06-10 18:17:33,47.87
2G4G05GV4B9325817,Sunbird,Pontiac,1994,Purple,2021-10-16 04:09:18,76.719
WBXPA93455W508339,Uplander,Chevrolet,2007,Yellow,2021-02-12 16:36:03,59.251
WAUEL74F55N906124,Tundra,Toyota,2009,Crimson,2021-07-22 12:37:34,
KL4CJDSB3FB666731,Electra,Buick,1987,Violet,2021-07-10 15:11:50,77.136
JN8AE2KP3D9560192,LTD Crown Victoria,Ford,1989,Indigo,2021-09-04 11:08:21,87.301
WBAUP9C54CV181634,Regal,Buick,,,2021-03-29 15:29:44,
1G4GC5ER2CF529098,SJ,Suzuki,1985,Green,2021-07-11 03:19:02,
JTHBK1EG9A2188780,Club Wagon,Ford,1994,Purple,2021-11-29 03:09:58,38.603
KNAFT4A29C5249037,Golf,Volkswagen,2002,Khaki,2021-01-08 07:42:39,21.027
SAJWA1C72D8524202,Equinox,Chevrolet,2007,Orange,2021-08-29 05:16:01,
WA1BY94LX7D290335,3000GT,Mitsubishi,1997,Pink,2021-07-20 23:13:41,67.443
WBA3A9C5XDF105702,Mighty Max,Mitsubishi,1986,Maroon,2021-07-13 16:45:20,
JN8AZ1MU7CW970107,Z4,BMW,2004,Pink,2021-08-15 23:07:34,61.539
4JGBF2FE0BA495833,L-Series,Saturn,2005,Blue,2021-02-07 19:42:08,
1G4GE5GD3BF375589,Diamante,Mitsubishi,2004,Goldenrod,2021-04-21 03:57:17,11.022
5UXWY3C58F0891268,Tiburon,Hyundai,2009,Purple,2021-07-17 05:35:40,
1N4AL3AP2DC558144,Sunfire,Pontiac,1999,Pink,2021-08-06 00:42:58,74.095
WA1LGBFE4DD545537,Econoline E250,Ford,1999,Turquoise,2021-01-04 23:26:32,12.734
1N4AL2AP4BC945740,GTO,Pontiac,,,2021-07-08 14:57:31,
1D7RB1CPXAS209077,Escalade EXT,Cadillac,2008,Mauv,2021-07-25 08:06:27,42.979
WBANB53557C896144,9000,Saab,1992,Crimson,2021-02-09 10:22:59,
SAJWA4EB3EL271196,Regal,Buick,1998,Green,2021-10-23 20:58:44,
1G6DL67A080220392,Tundra,Toyota,2008,Indigo,2021-08-08 13:16:13,
1G6YV36A485088669,Econoline E250,Ford,1995,Turquoise,2021-12-10 05:55:02,75.492
3D7TT2CT6BG291744,Camry Hybrid,Toyota,2009,Indigo,2021-04-27 10:28:14,7.304
19UUA75658A137432,Touareg,Volkswagen,2004,Puce,2021-05-15 14:00:14,48.871
KNADH4A38A6340874,57,Maybach,2004,Pink,2021-10-27 16:26:33,
1GYS4CEF7BR498699,GS,Lexus,1999,Aquamarine,2021-01-31 02:50:17,94.295
WAUDF98E68A171990,Mazda5,Mazda,2012,Crimson,2021-04-25 08:51:57,
2C3CA5CGXBH600463,Titan,Nissan,2008,Green,2021-09-02 05:45:27,89.817
1GYUCHEF4AR142654,7 Series,BMW,2001,Mauv,2021-02-15 00:31:11,31.309
WAUFFAFM0BA200881,Z8,BMW,2002,Purple,2021-05-26 09:20:23,15.033
1N6AF0LX7EN567339,Capri,Mercury,1985,Fuscia,2021-08-31 18:26:31,90.585
3C4PDCDG7FT351821,V70,Volvo,2009,Fuscia,2021-05-04 23:25:15,23.12
WBABW534X4P384561,LeSabre,Buick,1996,Violet,2021-06-13 23:19:57,25.532
JN8AZ1MU6DW989961,Element,Honda,2009,Purple,2021-12-29 07:21:40,
1FADP3E2XEL905897,Safari,GMC,1997,Blue,2021-06-19 18:53:49,50.864
JN8AS1MU5AM521764,xB,Scion,2008,Blue,2021-04-27 20:22:48,92.657
WAUGGBFC2CN260573,Seville,Cadillac,2002,Blue,2021-09-30 11:24:27,60.736
WBAKX8C54CC955720,Vandura 2500,GMC,1992,Purple,2021-12-16 19:23:23,69.697
5N1AA0NE1FN483155,S-Series,Saturn,2001,Crimson,2021-10-26 16:30:22,58.121
SCBCR73W08C814478,911,Porsche,1994,Violet,2021-10-06 18:33:38,56.565
WBAPT73518C811996,Gallardo,Lamborghini,2010,Mauv,2021-02-03 17:23:12,74.895
3D7TP2HT5AG982209,TSX,Acura,2008,Pink,2021-05-16 03:37:44,89.011
WAUAFAFH8DN532138,Grand Prix,Pontiac,,,2021-09-22 06:37:20,
JN8AS1MUXBM172151,X3,BMW,2012,Khaki,2021-11-18 01:29:50,40.581
WAUCFAFC7DN648671,Caravan,Dodge,2000,Crimson,2021-12-25 07:12:28,80.329
1C4RDJDG0CC560869,Discovery,Land Rover,1999,Aquamarine,2021-06-13 12:26:32,71.27
JN8AZ2KR0ET282636,Outlander,Mitsubishi,,,2021-04-11 20:09:06,30.618
WAUGL78E95A225871,3000GT,Mitsubishi,1995,Pink,2021-07-07 23:44:26,83.47
1G6DU6EA5A0453156,M-Class,Mercedes-Benz,,,2021-11-18 19:55:17,
WA1CMAFE1CD853301,Camry,Toyota,1997,Crimson,2021-08-13 06:28:29,
3N1CN7AP0FL648018,PT Cruiser,Chrysler,2009,Green,2021-11-03 22:19:07,73.089
5N1AR2MM1FC660926,SL-Class,Mercedes-Benz,1986,Fuscia,2021-06-15 21:07:40,
WDDPK4HA6EF933988,Storm,Geo,,,2021-06-23 10:07:59,
JH4DB75671S561902,Swift,Suzuki,1993,Crimson,2021-09-21 20:27:24,
2C3CDXBG8DH982032,Yukon XL,GMC,2006,Aquamarine,2021-09-06 04:22:37,
WBA6B4C50DD056633,Sierra 3500HD,GMC,2006,Pink,2021-09-09 01:58:47,
2FMDK3AC5AB303676,1000,Pontiac,1985,Pink,2021-06-16 16:00:05,63.492
1N6AF0LY9FN265206,Sunbird,Pontiac,1988,Blue,2021-06-22 09:46:42,48.318
1G6DS8EV7A0786561,Grand Marquis,Mercury,2000,Green,2021-04-06 00:21:06,74.388
WA1LMBFE2AD753436,9-5,Saab,2002,Yellow,2021-03-22 03:31:54,51.528
19UUA9E55DA687467,B-Series,Mazda,1994,Turquoise,2021-11-02 09:28:49,
5GALVAED4AJ729776,Elan,Lotus,1991,Fuscia,2021-05-02 16:20:46,2.517
JTHBP5C23E5124268,Voyager,Plymouth,1998,Orange,2021-01-06 18:57:00,51.429
WAUEL94F55N957621,S2000,Honda,,,2021-08-12 11:17:31,63.643
2C3CDXJG5EH835461,9-3,Saab,2003,Turquoise,2021-11-06 10:11:11,
1G6DA67V190898126,Impala,Chevrolet,2011,Purple,2021-11-08 06:47:41,40.753
WBAVC53548A671711,5000CS,Audi,1987,Khaki,2021-09-03 15:27:38,
WBAWR335X8P528198,Topaz,Mercury,1990,Teal,2021-03-03 20:06:34,
JN8AS5MT3AW382995,Vandura 2500,GMC,1993,Violet,2021-05-28 22:11:23,
WAUVT58E65A954745,S40,Volvo,2002,Green,2021-06-04 01:38:38,
WAUEH64B21N304963,Tucson,Hyundai,2008,Puce,2021-06-23 16:10:33,50.323
2B3CJ5DT4AH169447,M3,BMW,,,2021-05-26 08:50:18,71.352
YV4952BL7E1056611,MDX,Acura,,,2021-05-15 03:48:35,69.016
WBAUL7C50CV083913,Sienna,Toyota,2010,Turquoise,2021-07-08 07:57:21,
2HNYD18684H377077,Taurus X,Ford,2009,Yellow,2021-12-21 04:39:30,36.517
5J8TB4H34GL619353,300M,Chrysler,2001,Pink,2021-11-19 08:06:44,60.159
JM1BL1L37C1437665,M3,BMW,2008,Purple,2021-05-08 01:20:02,52.565
1FTMF1E85AK154923,Golf,Volkswagen,1984,Yellow,2021-11-17 08:48:02,
JM1DE1KY7C0122533,Sedona,Kia,2006,Aquamarine,2021-01-03 14:12:38,70.707
TRUVD38J091702826,Venture,Chevrolet,2003,Yellow,2021-06-22 05:23:36,
WBAUL7C55BV844479,Silverado,Chevrolet,2007,Fuscia,2021-12-31 06:27:15,21.213
SCFAB01A77G210975,Dakota Club,Dodge,2006,Green,2021-04-27 09:43:07,5.942
SALVE2BG6FH097835,F-Series,Ford,1994,Turquoise,2021-07-21 07:37:35,49.007
19UUA66267A272004,Corvette,Chevrolet,1960,Puce,2021-02-26 19:25:45,
2C3CDZAT4FH486173,Xterra,Nissan,2009,Crimson,2021-11-03 11:19:07,
1FTFW1E84AF276366,430,Maserati,1991,Indigo,2021-01-10 02:13:49,4.328
WAUML64B42N845492,Soul,Kia,2010,Indigo,2021-02-28 17:08:53,7.525
WAUHF78P57A026543,Protege5,Mazda,2002,Maroon,2021-02-24 20:57:32,
WAUEF78E38A247674,Stratus,Dodge,2002,Teal,2021-08-26 18:57:15,
WAUBF48H17K611823,Solara,Toyota,2005,Red,2021-09-24 19:58:28,72.988
WAUJT68E43A362553,Land Cruiser,Toyota,1994,Teal,2021-08-06 04:42:46,90.243
1N6AA0CA1BN775092,Taurus,Ford,2001,Goldenrod,2021-11-14 22:09:06,27.82
1B3BD2FB4BN717476,R-Class,Mercedes-Benz,2006,Mauv,2021-03-24 03:59:26,97.446
5XYZG3AB6BG778787,Armada,Nissan,2008,Orange,2021-07-27 09:47:09,
WBASN2C56BC075331,SVX,Subaru,1992,Red,2021-01-25 07:23:13,97.971
2T1KU4EE7DC914959,Ram,Dodge,2003,Fuscia,2021-10-13 12:20:08,84.197
1GYS3BEF7BR533299,Caravan,Dodge,1994,Green,2021-05-04 07:54:00,45.08
1G4CU541114379436,L300,Mitsubishi,1987,Khaki,2021-04-27 06:56:30,36.289
WVWAB7AJ4CW093721,Corolla,Toyota,1992,Violet,2021-05-09 03:20:28,
1GD22XEGXFZ841602,Avalon,Toyota,2008,Green,2021-09-10 08:03:07,76.51
